"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2016"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.948	0.451	4.104	5.915	133	2706025
"Male and female"	"1yr_2016"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.159	0.110	1.948	2.386	401	19665443
"Male and female"	"1yr_2016"	"Esophagus"	"Hispanic (All Races)"	2.807	0.092	2.630	2.992	1020	57279002
"Male and female"	"1yr_2016"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	78	0
"Male and female"	"1yr_2016"	"Stomach"	"AllRaceEth"	6.535	0.042	6.452	6.619	24749	323071755
"Male and female"	"1yr_2016"	"Stomach"	"Non-Hispanic White"	5.320	0.045	5.233	5.408	15119	201247910
"Male and female"	"1yr_2016"	"Stomach"	"Non-Hispanic Black"	10.087	0.168	9.760	10.421	3864	42173375
"Male and female"	"1yr_2016"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.138	0.596	7.011	9.391	205	2706025
"Male and female"	"1yr_2016"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	9.839	0.236	9.382	10.312	1817	19665443
"Male and female"	"1yr_2016"	"Stomach"	"Hispanic (All Races)"	9.509	0.166	9.186	9.839	3600	57279002
"Male and female"	"1yr_2016"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	144	0
"Male and female"	"1yr_2016"	"Colon and Rectum"	"AllRaceEth"	38.476	0.103	38.274	38.679	144987	323071755
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Non-Hispanic White"	38.363	0.122	38.123	38.604	105763	201247910
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Non-Hispanic Black"	44.346	0.346	43.670	45.029	17570	42173375
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	44.599	1.395	41.906	47.417	1117	2706025
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	30.773	0.412	29.971	31.591	5810	19665443
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Hispanic (All Races)"	34.547	0.312	33.938	35.163	13464	57279002
"Male and female"	"1yr_2016"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	1263	0
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.713	0.047	8.620	8.806	35296	323071755
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	7.314	0.051	7.215	7.414	21915	201247910
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	11.152	0.163	10.834	11.476	4982	42173375
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	15.960	0.795	14.439	17.598	441	2706025
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	12.559	0.263	12.050	13.085	2394	19665443
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	13.934	0.198	13.550	14.326	5427	57279002
"Male and female"	"1yr_2016"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	137	0
"Male and female"	"1yr_2016"	"Pancreas"	"AllRaceEth"	13.134	0.059	13.018	13.251	50746	323071755
"Male and female"	"1yr_2016"	"Pancreas"	"Non-Hispanic White"	13.103	0.069	12.969	13.239	38134	201247910
"Male and female"	"1yr_2016"	"Pancreas"	"Non-Hispanic Black"	15.753	0.209	15.347	16.167	6135	42173375
"Male and female"	"1yr_2016"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	12.734	0.769	11.271	14.327	303	2706025
"Male and female"	"1yr_2016"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.691	0.237	9.232	10.167	1744	19665443
"Male and female"	"1yr_2016"	"Pancreas"	"Hispanic (All Races)"	11.934	0.191	11.563	12.313	4258	57279002
"Male and female"	"1yr_2016"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	172	0
"Male and female"	"1yr_2016"	"Larynx"	"AllRaceEth"	3.150	0.029	3.094	3.207	12535	323071755
"Male and female"	"1yr_2016"	"Larynx"	"Non-Hispanic White"	3.312	0.035	3.244	3.381	9656	201247910
"Male and female"	"1yr_2016"	"Larynx"	"Non-Hispanic Black"	4.056	0.102	3.859	4.260	1715	42173375
"Male and female"	"1yr_2016"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	3.395	0.387	2.678	4.239	85	2706025
"Male and female"	"1yr_2016"	"Larynx"	"Non-Hispanic Asian or Pacific Islander"	0.891	0.070	0.759	1.038	170	19665443
"Male and female"	"1yr_2016"	"Larynx"	"Hispanic (All Races)"	2.260	0.081	2.104	2.424	846	57279002
"Male and female"	"1yr_2016"	"Larynx"	"Non-Hispanic Unknown Race"	 	 	 	 	63	0
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"AllRaceEth"	57.838	0.124	57.595	58.082	224995	323071755
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Non-Hispanic White"	62.173	0.148	61.883	62.465	182690	201247910
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Non-Hispanic Black"	60.137	0.406	59.344	60.939	23614	42173375
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Non-Hispanic American Indian/Alaska Native"	53.741	1.552	50.742	56.866	1325	2706025
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Non-Hispanic Asian or Pacific Islander"	34.704	0.446	33.835	35.589	6335	19665443
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Hispanic (All Races)"	30.425	0.310	29.820	31.039	10381	57279002
"Male and female"	"1yr_2016"	"Lung and Bronchus"	"Non-Hispanic Unknown Race"	 	 	 	 	650	0
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"AllRaceEth"	22.965	0.081	22.807	23.124	85010	323071755
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Non-Hispanic White"	29.876	0.112	29.657	30.096	78565	201247910
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Non-Hispanic Black"	0.961	0.052	0.862	1.068	367	42173375
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Non-Hispanic American Indian/Alaska Native"	8.688	0.626	7.505	10.000	209	2706025
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Non-Hispanic Asian or Pacific Islander"	1.308	0.085	1.147	1.486	247	19665443
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Hispanic (All Races)"	4.951	0.116	4.725	5.183	2000	57279002
"Male and female"	"1yr_2016"	"Melanoma of the Skin"	"Non-Hispanic Unknown Race"	 	 	 	 	3622	0
"Male and female"	"1yr_2016"	"Breast"	"AllRaceEth"	67.684	0.138	67.413	67.956	252302	323071755
"Male and female"	"1yr_2016"	"Breast"	"Non-Hispanic White"	69.802	0.169	69.471	70.134	187463	201247910
"Male and female"	"1yr_2016"	"Breast"	"Non-Hispanic Black"	72.956	0.440	72.096	73.823	29230	42173375
"Male and female"	"1yr_2016"	"Breast"	"Non-Hispanic American Indian/Alaska Native"	56.926	1.545	53.938	60.034	1472	2706025
"Male and female"	"1yr_2016"	"Breast"	"Non-Hispanic Asian or Pacific Islander"	53.313	0.526	52.287	54.355	10587	19665443
"Male and female"	"1yr_2016"	"Breast"	"Hispanic (All Races)"	52.238	0.368	51.520	52.963	21903	57279002
"Male and female"	"1yr_2016"	"Breast"	"Non-Hispanic Unknown Race"	 	 	 	 	1647	0
"Male and female"	"1yr_2016"	"Cervix Uteri"	"AllRaceEth"	4.042	0.036	3.972	4.113	13338	323071755
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Non-Hispanic White"	3.734	0.044	3.648	3.822	7984	201247910
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Non-Hispanic Black"	4.994	0.116	4.770	5.225	1967	42173375
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Non-Hispanic American Indian/Alaska Native"	4.696	0.443	3.867	5.648	118	2706025
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Non-Hispanic Asian or Pacific Islander"	3.349	0.131	3.097	3.616	672	19665443
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Hispanic (All Races)"	5.190	0.108	4.980	5.406	2478	57279002
"Male and female"	"1yr_2016"	"Cervix Uteri"	"Non-Hispanic Unknown Race"	 	 	 	 	119	0
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"AllRaceEth"	14.701	0.063	14.578	14.825	57713	323071755
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Non-Hispanic White"	14.768	0.075	14.622	14.915	42257	201247910
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Non-Hispanic Black"	15.956	0.202	15.562	16.357	6669	42173375
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Non-Hispanic American Indian/Alaska Native"	13.415	0.736	12.011	14.938	358	2706025
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Non-Hispanic Asian or Pacific Islander"	11.071	0.236	10.612	11.544	2259	19665443
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Hispanic (All Races)"	13.453	0.184	13.095	13.818	5776	57279002
"Male and female"	"1yr_2016"	"Corpus and Uterus, NOS"	"Non-Hispanic Unknown Race"	 	 	 	 	394	0
"Male and female"	"1yr_2016"	"Ovary"	"AllRaceEth"	5.713	0.040	5.635	5.793	21239	323071755
"Male and female"	"1yr_2016"	"Ovary"	"Non-Hispanic White"	5.827	0.049	5.732	5.923	15645	201247910
"Male and female"	"1yr_2016"	"Ovary"	"Non-Hispanic Black"	5.124	0.117	4.896	5.359	2030	42173375
"Male and female"	"1yr_2016"	"Ovary"	"Non-Hispanic American Indian/Alaska Native"	5.412	0.479	4.514	6.435	139	2706025
"Male and female"	"1yr_2016"	"Ovary"	"Non-Hispanic Asian or Pacific Islander"	5.025	0.162	4.711	5.353	988	19665443
"Male and female"	"1yr_2016"	"Ovary"	"Hispanic (All Races)"	5.484	0.119	5.252	5.723	2318	57279002
"Male and female"	"1yr_2016"	"Ovary"	"Non-Hispanic Unknown Race"	 	 	 	 	119	0
"Male and female"	"1yr_2016"	"Prostate"	"AllRaceEth"	49.423	0.112	49.205	49.643	203202	323071755
"Male and female"	"1yr_2016"	"Prostate"	"Non-Hispanic White"	46.974	0.126	46.728	47.222	144759	201247910
"Male and female"	"1yr_2016"	"Prostate"	"Non-Hispanic Black"	75.419	0.432	74.575	76.270	32646	42173375
"Male and female"	"1yr_2016"	"Prostate"	"Non-Hispanic American Indian/Alaska Native"	33.112	1.185	30.829	35.517	862	2706025
"Male and female"	"1yr_2016"	"Prostate"	"Non-Hispanic Asian or Pacific Islander"	24.349	0.365	23.639	25.076	4670	19665443
"Male and female"	"1yr_2016"	"Prostate"	"Hispanic (All Races)"	39.337	0.337	38.679	40.003	14711	57279002
"Male and female"	"1yr_2016"	"Prostate"	"Non-Hispanic Unknown Race"	 	 	 	 	5554	0
"Male and female"	"1yr_2016"	"Testis"	"AllRaceEth"	2.943	0.031	2.882	3.005	9130	323071755
"Male and female"	"1yr_2016"	"Testis"	"Non-Hispanic White"	3.644	0.045	3.555	3.734	6689	201247910
"Male and female"	"1yr_2016"	"Testis"	"Non-Hispanic Black"	0.742	0.044	0.659	0.833	300	42173375
"Male and female"	"1yr_2016"	"Testis"	"Non-Hispanic American Indian/Alaska Native"	3.456	0.364	2.779	4.250	94	2706025
"Male and female"	"1yr_2016"	"Testis"	"Non-Hispanic Asian or Pacific Islander"	1.038	0.070	0.905	1.185	224	19665443
"Male and female"	"1yr_2016"	"Testis"	"Hispanic (All Races)"	2.686	0.067	2.557	2.821	1669	57279002
"Male and female"	"1yr_2016"	"Testis"	"Non-Hispanic Unknown Race"	 	 	 	 	154	0
"Male and female"	"1yr_2016"	"Urinary Bladder"	"AllRaceEth"	20.000	0.073	19.856	20.144	76601	323071755
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Non-Hispanic White"	22.546	0.090	22.370	22.723	65652	201247910
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Non-Hispanic Black"	11.829	0.185	11.470	12.197	4392	42173375
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Non-Hispanic American Indian/Alaska Native"	13.180	0.789	11.680	14.813	308	2706025
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Non-Hispanic Asian or Pacific Islander"	8.491	0.224	8.057	8.941	1500	19665443
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Hispanic (All Races)"	11.126	0.189	10.759	11.502	3747	57279002
"Male and female"	"1yr_2016"	"Urinary Bladder"	"Non-Hispanic Unknown Race"	 	 	 	 	1002	0
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"AllRaceEth"	17.372	0.069	17.236	17.509	65825	323071755
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Non-Hispanic White"	17.567	0.084	17.404	17.732	48203	201247910
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Non-Hispanic Black"	19.525	0.226	19.083	19.974	7931	42173375
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Non-Hispanic American Indian/Alaska Native"	24.240	1.010	22.301	26.301	624	2706025
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Non-Hispanic Asian or Pacific Islander"	7.916	0.207	7.514	8.333	1517	19665443
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Hispanic (All Races)"	17.581	0.217	17.159	18.011	7192	57279002
"Male and female"	"1yr_2016"	"Kidney and Renal Pelvis"	"Non-Hispanic Unknown Race"	 	 	 	 	358	0
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"AllRaceEth"	6.515	0.044	6.430	6.602	23247	323071755
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Non-Hispanic White"	7.410	0.058	7.296	7.525	18104	201247910
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Non-Hispanic Black"	4.131	0.103	3.933	4.338	1704	42173375
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Non-Hispanic American Indian/Alaska Native"	4.644	0.430	3.839	5.568	124	2706025
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Non-Hispanic Asian or Pacific Islander"	3.728	0.141	3.456	4.016	721	19665443
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Hispanic (All Races)"	5.175	0.112	4.957	5.399	2415	57279002
"Male and female"	"1yr_2016"	"Brain and Other Nervous System"	"Non-Hispanic Unknown Race"	 	 	 	 	179	0
"Male and female"	"1yr_2016"	"Thyroid"	"AllRaceEth"	14.372	0.067	14.242	14.504	48893	323071755
"Male and female"	"1yr_2016"	"Thyroid"	"Non-Hispanic White"	15.456	0.088	15.284	15.629	34472	201247910
"Male and female"	"1yr_2016"	"Thyroid"	"Non-Hispanic Black"	8.941	0.152	8.646	9.244	3643	42173375
"Male and female"	"1yr_2016"	"Thyroid"	"Non-Hispanic American Indian/Alaska Native"	12.736	0.725	11.354	14.239	327	2706025
"Male and female"	"1yr_2016"	"Thyroid"	"Non-Hispanic Asian or Pacific Islander"	15.122	0.275	14.587	15.671	3095	19665443
"Male and female"	"1yr_2016"	"Thyroid"	"Hispanic (All Races)"	13.911	0.175	13.570	14.258	6809	57279002
"Male and female"	"1yr_2016"	"Thyroid"	"Non-Hispanic Unknown Race"	 	 	 	 	547	0
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"AllRaceEth"	2.626	0.029	2.570	2.683	8690	323071755
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Non-Hispanic White"	2.870	0.039	2.795	2.947	5976	201247910
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Non-Hispanic Black"	2.622	0.081	2.467	2.786	1099	42173375
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	1.538	0.240	1.104	2.090	43	2706025
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	1.335	0.083	1.177	1.508	267	19665443
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Hispanic (All Races)"	2.394	0.073	2.253	2.542	1214	57279002
"Male and female"	"1yr_2016"	"Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	91	0
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"AllRaceEth"	19.349	0.074	19.205	19.493	72345	323071755
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Non-Hispanic White"	20.205	0.089	20.031	20.380	55767	201247910
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Black"	14.768	0.199	14.381	15.163	5869	42173375
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	14.791	0.812	13.243	16.467	363	2706025
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	13.358	0.271	12.831	13.901	2527	19665443
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Hispanic (All Races)"	17.898	0.225	17.458	18.344	6992	57279002
"Male and female"	"1yr_2016"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	827	0
"Male and female"	"1yr_2016"	"Myeloma"	"AllRaceEth"	7.168	0.044	7.082	7.254	27618	323071755
"Male and female"	"1yr_2016"	"Myeloma"	"Non-Hispanic White"	6.313	0.048	6.220	6.408	18315	201247910
"Male and female"	"1yr_2016"	"Myeloma"	"Non-Hispanic Black"	14.624	0.201	14.232	15.024	5663	42173375
"Male and female"	"1yr_2016"	"Myeloma"	"Non-Hispanic American Indian/Alaska Native"	6.741	0.552	5.702	7.909	164	2706025
"Male and female"	"1yr_2016"	"Myeloma"	"Non-Hispanic Asian or Pacific Islander"	3.817	0.147	3.535	4.115	711	19665443
"Male and female"	"1yr_2016"	"Myeloma"	"Hispanic (All Races)"	6.949	0.143	6.671	7.234	2566	57279002
"Male and female"	"1yr_2016"	"Myeloma"	"Non-Hispanic Unknown Race"	 	 	 	 	199	0
"Male and female"	"1yr_2016"	"Leukemias"	"AllRaceEth"	14.481	0.064	14.355	14.607	53077	323071755
"Male and female"	"1yr_2016"	"Leukemias"	"Non-Hispanic White"	15.240	0.079	15.085	15.395	40834	201247910
"Male and female"	"1yr_2016"	"Leukemias"	"Non-Hispanic Black"	11.396	0.177	11.052	11.747	4423	42173375
"Male and female"	"1yr_2016"	"Leukemias"	"Non-Hispanic American Indian/Alaska Native"	11.360	0.702	10.025	12.820	285	2706025
"Male and female"	"1yr_2016"	"Leukemias"	"Non-Hispanic Asian or Pacific Islander"	8.186	0.213	7.774	8.613	1536	19665443
"Male and female"	"1yr_2016"	"Leukemias"	"Hispanic (All Races)"	11.888	0.176	11.545	12.238	5250	57279002
"Male and female"	"1yr_2016"	"Leukemias"	"Non-Hispanic Unknown Race"	 	 	 	 	749	0
"Male and female"	"1yr_2016"	"Mesothelioma"	"AllRaceEth"	0.853	0.015	0.824	0.884	3197	323071755
"Male and female"	"1yr_2016"	"Mesothelioma"	"Non-Hispanic White"	0.954	0.019	0.918	0.991	2726	201247910
"Male and female"	"1yr_2016"	"Mesothelioma"	"Non-Hispanic Black"	0.449	0.036	0.380	0.526	161	42173375
"Male and female"	"1yr_2016"	"Mesothelioma"	"Non-Hispanic American Indian/Alaska Native"	0.726	0.180	0.417	1.170	18	2706025
"Male and female"	"1yr_2016"	"Mesothelioma"	"Non-Hispanic Asian or Pacific Islander"	0.331	0.044	0.251	0.428	59	19665443
"Male and female"	"1yr_2016"	"Mesothelioma"	"Hispanic (All Races)"	0.625	0.044	0.542	0.715	222	57279002
"Male and female"	"1yr_2016"	"Mesothelioma"	"Non-Hispanic Unknown Race"	 	 	 	 	 	0
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"AllRaceEth"	0.359	0.011	0.339	0.381	1199	323071755
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Non-Hispanic White"	0.220	0.010	0.201	0.241	510	201247910
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Non-Hispanic Black"	0.840	0.046	0.752	0.935	345	42173375
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Non-Hispanic American Indian/Alaska Native"	 	 	 	 	 	2706025
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Non-Hispanic Asian or Pacific Islander"	0.127	0.026	0.081	0.190	24	19665443
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Hispanic (All Races)"	0.586	0.038	0.514	0.666	265	57279002
"Male and female"	"1yr_2016"	"Kaposi Sarcoma"	"Non-Hispanic Unknown Race"	 	 	 	 	48	0
"Male and female"	"5yrs_2012_2016"	"All Sites"	"AllRaceEth"	455.852	0.161	455.537	456.168	8323720	1592134687
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Non-Hispanic White"	472.363	0.193	471.984	472.741	6385627	1004736872
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Non-Hispanic Black"	468.384	0.512	467.380	469.389	893487	206490205
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	404.837	1.947	401.030	408.671	47837	13317049
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	299.658	0.601	298.482	300.839	260454	92461832
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Hispanic (All Races)"	358.087	0.468	357.170	359.006	651682	275128729
"Male and female"	"5yrs_2012_2016"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	84633	0
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.875	0.026	11.825	11.926	222028	1592134687
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.063	0.032	13.001	13.126	179778	1004736872
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	9.258	0.070	9.121	9.397	18571	206490205
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.364	0.298	9.788	10.965	1325	13317049
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.280	0.098	8.090	8.475	7445	92461832
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.140	0.065	7.013	7.270	13157	275128729
"Male and female"	"5yrs_2012_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	1752	0
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"AllRaceEth"	4.581	0.016	4.550	4.613	86095	1592134687
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Non-Hispanic White"	5.004	0.019	4.966	5.042	70978	1004736872
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Non-Hispanic Black"	4.067	0.048	3.974	4.162	7820	206490205
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.463	0.205	4.070	4.882	529	13317049
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.136	0.052	2.036	2.239	1801	92461832
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Hispanic (All Races)"	2.776	0.043	2.693	2.860	4627	275128729
"Male and female"	"5yrs_2012_2016"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	340	0
"Male and female"	"5yrs_2012_2016"	"Stomach"	"AllRaceEth"	6.628	0.019	6.590	6.666	120501	1592134687
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Non-Hispanic White"	5.417	0.020	5.377	5.457	74847	1004736872
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Non-Hispanic Black"	10.226	0.078	10.074	10.380	18435	206490205
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.317	0.286	7.765	8.896	936	13317049
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	10.536	0.116	10.310	10.766	8688	92461832
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Hispanic (All Races)"	9.845	0.080	9.690	10.003	16917	275128729
"Male and female"	"5yrs_2012_2016"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	678	0
"Male and female"	"5yrs_2012_2016"	"Colon and Rectum"	"AllRaceEth"	39.140	0.047	39.047	39.233	711608	1592134687
"Male and female"	"5yrs_2012_2016"	"Colon and Rectum"	"Non-Hispanic White"	38.927	0.055	38.819	39.035	527096	1004736872
"Male and female"	"5yrs_2012_2016"	"Colon and Rectum"	"Non-Hispanic Black"	46.195	0.163	45.876	46.514	86376	206490205
"Male and female"	"5yrs_2012_2016"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	42.801	0.640	41.555	44.074	4953	13317049
