"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2022"	"Pancreas"	"Non-Hispanic White"	13.576	0.068	13.443	13.710	42486	199755669
"Male and female"	"1yr_2022"	"Pancreas"	"Non-Hispanic Black"	16.314	0.197	15.929	16.705	7326	44379530
"Male and female"	"1yr_2022"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	11.707	0.644	10.479	13.042	352	2757920
"Male and female"	"1yr_2022"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.888	0.207	9.486	10.304	2334	22326886
"Male and female"	"1yr_2022"	"Pancreas"	"Hispanic (All Races)"	12.388	0.171	12.055	12.727	5692	64051406
"Male and female"	"1yr_2022"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	281	0
"Male and female"	"1yr_2022"	"Larynx"	"AllRaceEth"	2.618	0.025	2.569	2.667	11618	333271411
"Male and female"	"1yr_2022"	"Larynx"	"Non-Hispanic White"	2.773	0.031	2.713	2.835	8690	199755669
"Male and female"	"1yr_2022"	"Larynx"	"Non-Hispanic Black"	3.419	0.087	3.251	3.594	1652	44379530
"Male and female"	"1yr_2022"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	2.907	0.314	2.324	3.596	91	2757920
"Male and female"	"1yr_2022"	"Larynx"	"Non-Hispanic Asian or Pacific Islander"	0.886	0.061	0.769	1.015	214	22326886
"Male and female"	"1yr_2022"	"Larynx"	"Hispanic (All Races)"	1.802	0.063	1.680	1.930	877	64051406
"Male and female"	"1yr_2022"	"Larynx"	"Non-Hispanic Unknown Race"	 	 	 	 	94	0
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"AllRaceEth"	49.396	0.107	49.186	49.607	218893	333271411
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Non-Hispanic White"	53.613	0.132	53.355	53.872	173713	199755669
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Non-Hispanic Black"	50.977	0.345	50.302	51.658	23411	44379530
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Non-Hispanic American Indian/Alaska Native"	49.358	1.302	46.838	51.982	1522	2757920
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Non-Hispanic Asian or Pacific Islander"	31.620	0.370	30.900	32.354	7516	22326886
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Hispanic (All Races)"	26.348	0.253	25.854	26.848	11697	64051406
"Male and female"	"1yr_2022"	"Lung and Bronchus"	"Non-Hispanic Unknown Race"	 	 	 	 	1034	0
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"AllRaceEth"	23.828	0.079	23.675	23.983	97059	333271411
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Non-Hispanic White"	31.140	0.112	30.921	31.360	87159	199755669
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Non-Hispanic Black"	0.931	0.047	0.841	1.029	410	44379530
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Non-Hispanic American Indian/Alaska Native"	8.150	0.552	7.103	9.308	230	2757920
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Non-Hispanic Asian or Pacific Islander"	1.109	0.069	0.978	1.253	265	22326886
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Hispanic (All Races)"	4.971	0.104	4.770	5.178	2490	64051406
"Male and female"	"1yr_2022"	"Melanoma of the Skin"	"Non-Hispanic Unknown Race"	 	 	 	 	6505	0
"Male and female"	"1yr_2022"	"Breast"	"AllRaceEth"	70.135	0.136	69.868	70.403	282232	333271411
"Male and female"	"1yr_2022"	"Breast"	"Non-Hispanic White"	72.055	0.171	71.720	72.391	200644	199755669
"Male and female"	"1yr_2022"	"Breast"	"Non-Hispanic Black"	74.443	0.420	73.621	75.271	33287	44379530
"Male and female"	"1yr_2022"	"Breast"	"Non-Hispanic American Indian/Alaska Native"	59.703	1.482	56.833	62.680	1728	2757920
"Male and female"	"1yr_2022"	"Breast"	"Non-Hispanic Asian or Pacific Islander"	62.001	0.511	61.003	63.012	15000	22326886
"Male and female"	"1yr_2022"	"Breast"	"Hispanic (All Races)"	55.460	0.336	54.803	56.122	29027	64051406
"Male and female"	"1yr_2022"	"Breast"	"Non-Hispanic Unknown Race"	 	 	 	 	2546	0
"Male and female"	"1yr_2022"	"Cervix Uteri"	"AllRaceEth"	3.743	0.034	3.677	3.810	12960	333271411
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Non-Hispanic White"	3.446	0.042	3.364	3.530	7430	199755669
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Non-Hispanic Black"	4.101	0.099	3.909	4.301	1792	44379530
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Non-Hispanic American Indian/Alaska Native"	5.116	0.459	4.257	6.094	130	2757920
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Non-Hispanic Asian or Pacific Islander"	2.994	0.112	2.777	3.223	720	22326886
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Hispanic (All Races)"	4.790	0.094	4.607	4.977	2708	64051406
"Male and female"	"1yr_2022"	"Cervix Uteri"	"Non-Hispanic Unknown Race"	 	 	 	 	180	0
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"AllRaceEth"	14.444	0.060	14.327	14.562	61491	333271411
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Non-Hispanic White"	14.012	0.072	13.871	14.155	41804	199755669
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Non-Hispanic Black"	16.667	0.192	16.293	17.047	8055	44379530
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Non-Hispanic American Indian/Alaska Native"	15.313	0.747	13.884	16.851	447	2757920
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Non-Hispanic Asian or Pacific Islander"	12.023	0.222	11.591	12.466	2991	22326886
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Hispanic (All Races)"	13.968	0.166	13.645	14.297	7523	64051406
"Male and female"	"1yr_2022"	"Corpus and Uterus, NOS"	"Non-Hispanic Unknown Race"	 	 	 	 	671	0
"Male and female"	"1yr_2022"	"Ovary"	"AllRaceEth"	5.191	0.037	5.118	5.264	20648	333271411
"Male and female"	"1yr_2022"	"Ovary"	"Non-Hispanic White"	5.118	0.046	5.029	5.208	14120	199755669
"Male and female"	"1yr_2022"	"Ovary"	"Non-Hispanic Black"	4.941	0.108	4.732	5.158	2210	44379530
"Male and female"	"1yr_2022"	"Ovary"	"Non-Hispanic American Indian/Alaska Native"	4.808	0.417	4.026	5.700	141	2757920
"Male and female"	"1yr_2022"	"Ovary"	"Non-Hispanic Asian or Pacific Islander"	4.883	0.144	4.606	5.173	1180	22326886
"Male and female"	"1yr_2022"	"Ovary"	"Hispanic (All Races)"	5.313	0.104	5.111	5.521	2809	64051406
"Male and female"	"1yr_2022"	"Ovary"	"Non-Hispanic Unknown Race"	 	 	 	 	188	0
"Male and female"	"1yr_2022"	"Prostate"	"AllRaceEth"	55.381	0.111	55.163	55.600	255395	333271411
"Male and female"	"1yr_2022"	"Prostate"	"Non-Hispanic White"	53.211	0.129	52.959	53.465	177868	199755669
"Male and female"	"1yr_2022"	"Prostate"	"Non-Hispanic Black"	81.335	0.415	80.523	82.154	40622	44379530
"Male and female"	"1yr_2022"	"Prostate"	"Non-Hispanic American Indian/Alaska Native"	39.868	1.149	37.647	42.190	1269	2757920
"Male and female"	"1yr_2022"	"Prostate"	"Non-Hispanic Asian or Pacific Islander"	28.868	0.346	28.193	29.555	7154	22326886
"Male and female"	"1yr_2022"	"Prostate"	"Hispanic (All Races)"	40.780	0.299	40.195	41.370	19987	64051406
"Male and female"	"1yr_2022"	"Prostate"	"Non-Hispanic Unknown Race"	 	 	 	 	8495	0
"Male and female"	"1yr_2022"	"Testis"	"AllRaceEth"	2.872	0.030	2.812	2.932	9094	333271411
"Male and female"	"1yr_2022"	"Testis"	"Non-Hispanic White"	3.343	0.044	3.258	3.431	6021	199755669
"Male and female"	"1yr_2022"	"Testis"	"Non-Hispanic Black"	0.732	0.042	0.653	0.818	320	44379530
"Male and female"	"1yr_2022"	"Testis"	"Non-Hispanic American Indian/Alaska Native"	3.354	0.354	2.697	4.124	93	2757920
"Male and female"	"1yr_2022"	"Testis"	"Non-Hispanic Asian or Pacific Islander"	1.117	0.069	0.985	1.262	263	22326886
"Male and female"	"1yr_2022"	"Testis"	"Hispanic (All Races)"	3.173	0.069	3.039	3.311	2159	64051406
"Male and female"	"1yr_2022"	"Testis"	"Non-Hispanic Unknown Race"	 	 	 	 	238	0
"Male and female"	"1yr_2022"	"Urinary Bladder"	"AllRaceEth"	17.761	0.065	17.634	17.889	76529	333271411
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Non-Hispanic White"	20.192	0.082	20.033	20.353	64065	199755669
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Non-Hispanic Black"	11.198	0.167	10.874	11.530	4834	44379530
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Non-Hispanic American Indian/Alaska Native"	10.945	0.627	9.750	12.248	322	2757920
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Non-Hispanic Asian or Pacific Islander"	8.136	0.190	7.768	8.518	1879	22326886
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Hispanic (All Races)"	9.787	0.157	9.482	10.099	4210	64051406
"Male and female"	"1yr_2022"	"Urinary Bladder"	"Non-Hispanic Unknown Race"	 	 	 	 	1219	0
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"AllRaceEth"	17.196	0.066	17.066	17.327	71248	333271411
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Non-Hispanic White"	17.339	0.082	17.179	17.500	50162	199755669
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Non-Hispanic Black"	18.746	0.208	18.340	19.159	8614	44379530
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Non-Hispanic American Indian/Alaska Native"	24.576	0.953	22.743	26.518	707	2757920
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Non-Hispanic Asian or Pacific Islander"	7.867	0.182	7.515	8.232	1918	22326886
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Hispanic (All Races)"	17.856	0.193	17.480	18.237	9221	64051406
"Male and female"	"1yr_2022"	"Kidney and Renal Pelvis"	"Non-Hispanic Unknown Race"	 	 	 	 	626	0
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"AllRaceEth"	6.058	0.041	5.978	6.139	23210	333271411
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Non-Hispanic White"	6.822	0.056	6.713	6.932	17377	199755669
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Non-Hispanic Black"	3.833	0.094	3.650	4.022	1733	44379530
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Non-Hispanic American Indian/Alaska Native"	5.752	0.457	4.892	6.721	166	2757920
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Non-Hispanic Asian or Pacific Islander"	4.065	0.135	3.806	4.338	935	22326886
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Hispanic (All Races)"	5.028	0.099	4.835	5.226	2797	64051406
"Male and female"	"1yr_2022"	"Brain and Other Nervous System"	"Non-Hispanic Unknown Race"	 	 	 	 	202	0
"Male and female"	"1yr_2022"	"Thyroid"	"AllRaceEth"	12.662	0.061	12.542	12.783	45420	333271411
"Male and female"	"1yr_2022"	"Thyroid"	"Non-Hispanic White"	13.158	0.081	13.000	13.317	29839	199755669
"Male and female"	"1yr_2022"	"Thyroid"	"Non-Hispanic Black"	7.578	0.134	7.318	7.844	3374	44379530
"Male and female"	"1yr_2022"	"Thyroid"	"Non-Hispanic American Indian/Alaska Native"	11.569	0.674	10.286	12.967	310	2757920
"Male and female"	"1yr_2022"	"Thyroid"	"Non-Hispanic Asian or Pacific Islander"	14.421	0.247	13.940	14.914	3459	22326886
"Male and female"	"1yr_2022"	"Thyroid"	"Hispanic (All Races)"	13.164	0.154	12.864	13.469	7669	64051406
"Male and female"	"1yr_2022"	"Thyroid"	"Non-Hispanic Unknown Race"	 	 	 	 	769	0
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"AllRaceEth"	2.483	0.027	2.430	2.538	8583	333271411
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Non-Hispanic White"	2.614	0.037	2.542	2.688	5479	199755669
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Non-Hispanic Black"	2.534	0.076	2.386	2.688	1138	44379530
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	1.758	0.253	1.298	2.331	50	2757920
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	1.394	0.079	1.244	1.558	320	22326886
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Hispanic (All Races)"	2.361	0.064	2.237	2.490	1452	64051406
"Male and female"	"1yr_2022"	"Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	144	0
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"AllRaceEth"	17.564	0.067	17.433	17.695	72397	333271411
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Non-Hispanic White"	18.188	0.082	18.026	18.350	53636	199755669
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Black"	13.084	0.176	12.741	13.435	5835	44379530
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	13.538	0.703	12.195	14.989	392	2757920
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	13.156	0.239	12.691	13.634	3097	22326886
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Hispanic (All Races)"	17.140	0.194	16.762	17.525	8500	64051406
"Male and female"	"1yr_2022"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	937	0
"Male and female"	"1yr_2022"	"Myeloma"	"AllRaceEth"	6.891	0.041	6.810	6.971	29476	333271411
"Male and female"	"1yr_2022"	"Myeloma"	"Non-Hispanic White"	5.996	0.045	5.908	6.086	18626	199755669
"Male and female"	"1yr_2022"	"Myeloma"	"Non-Hispanic Black"	14.161	0.184	13.802	14.526	6326	44379530
"Male and female"	"1yr_2022"	"Myeloma"	"Non-Hispanic American Indian/Alaska Native"	6.091	0.470	5.205	7.085	179	2757920
"Male and female"	"1yr_2022"	"Myeloma"	"Non-Hispanic Asian or Pacific Islander"	3.729	0.127	3.484	3.986	885	22326886
"Male and female"	"1yr_2022"	"Myeloma"	"Hispanic (All Races)"	6.580	0.122	6.342	6.824	3136	64051406
"Male and female"	"1yr_2022"	"Myeloma"	"Non-Hispanic Unknown Race"	 	 	 	 	324	0
"Male and female"	"1yr_2022"	"Leukemias"	"AllRaceEth"	13.600	0.060	13.483	13.718	54403	333271411
"Male and female"	"1yr_2022"	"Leukemias"	"Non-Hispanic White"	14.354	0.075	14.207	14.502	40815	199755669
"Male and female"	"1yr_2022"	"Leukemias"	"Non-Hispanic Black"	10.751	0.162	10.437	11.073	4679	44379530
"Male and female"	"1yr_2022"	"Leukemias"	"Non-Hispanic American Indian/Alaska Native"	10.813	0.627	9.619	12.115	313	2757920
"Male and female"	"1yr_2022"	"Leukemias"	"Non-Hispanic Asian or Pacific Islander"	7.850	0.188	7.486	8.226	1796	22326886
"Male and female"	"1yr_2022"	"Leukemias"	"Hispanic (All Races)"	11.395	0.154	11.095	11.701	6055	64051406
"Male and female"	"1yr_2022"	"Leukemias"	"Non-Hispanic Unknown Race"	 	 	 	 	745	0
"Male and female"	"1yr_2022"	"Mesothelioma"	"AllRaceEth"	0.646	0.013	0.621	0.672	2669	333271411
"Male and female"	"1yr_2022"	"Mesothelioma"	"Non-Hispanic White"	0.700	0.015	0.670	0.731	2141	199755669
"Male and female"	"1yr_2022"	"Mesothelioma"	"Non-Hispanic Black"	0.417	0.033	0.354	0.487	167	44379530
"Male and female"	"1yr_2022"	"Mesothelioma"	"Non-Hispanic American Indian/Alaska Native"	0.567	0.141	0.326	0.922	17	2757920
"Male and female"	"1yr_2022"	"Mesothelioma"	"Non-Hispanic Asian or Pacific Islander"	0.261	0.033	0.199	0.336	62	22326886
"Male and female"	"1yr_2022"	"Mesothelioma"	"Hispanic (All Races)"	0.579	0.037	0.508	0.656	260	64051406
"Male and female"	"1yr_2022"	"Mesothelioma"	"Non-Hispanic Unknown Race"	 	 	 	 	22	0
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"AllRaceEth"	0.294	0.009	0.276	0.313	1035	333271411
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Non-Hispanic White"	0.157	0.008	0.141	0.174	387	199755669
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Non-Hispanic Black"	0.689	0.040	0.613	0.772	305	44379530
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Non-Hispanic American Indian/Alaska Native"	 	 	 	 	 	2757920
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Non-Hispanic Asian or Pacific Islander"	0.108	0.022	0.069	0.161	24	22326886
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Hispanic (All Races)"	0.480	0.030	0.422	0.544	268	64051406
"Male and female"	"1yr_2022"	"Kaposi Sarcoma"	"Non-Hispanic Unknown Race"	 	 	 	 	40	0
"Male and female"	"5yrs_2018_2022"	"All Sites"	"AllRaceEth"	448.635	0.152	448.337	448.934	9105227	1655614695
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Non-Hispanic White"	467.099	0.188	466.731	467.468	6770935	1004088453
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Non-Hispanic Black"	452.269	0.468	451.352	453.187	999812	219250926
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	412.044	1.776	408.570	415.540	57626	13684711
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	298.891	0.526	297.861	299.923	333319	107882208
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Hispanic (All Races)"	354.654	0.408	353.855	355.455	827590	310708397
"Male and female"	"5yrs_2018_2022"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	115945	0
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"AllRaceEth"	12.137	0.025	12.088	12.185	251356	1655614695
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.636	0.032	13.574	13.699	200649	1004088453
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.427	0.063	8.304	8.551	19202	219250926
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	11.351	0.289	10.792	11.932	1652	13684711
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.413	0.087	8.243	8.586	9558	107882208
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.416	0.059	7.302	7.532	17506	310708397
"Male and female"	"5yrs_2018_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	2789	0
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"AllRaceEth"	4.589	0.015	4.559	4.618	96983	1655614695
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Non-Hispanic White"	5.185	0.019	5.148	5.222	79679	1004088453
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Non-Hispanic Black"	3.394	0.040	3.316	3.474	7634	219250926
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.759	0.188	4.397	5.143	687	13684711
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.198	0.045	2.110	2.288	2472	107882208
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Hispanic (All Races)"	2.756	0.037	2.684	2.829	6093	310708397
"Male and female"	"5yrs_2018_2022"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	418	0
"Male and female"	"5yrs_2018_2022"	"Stomach"	"AllRaceEth"	6.466	0.018	6.430	6.502	130552	1655614695
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Non-Hispanic White"	5.207	0.020	5.168	5.245	76820	1004088453
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Non-Hispanic Black"	9.916	0.071	9.778	10.057	20933	219250926
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.166	0.254	7.676	8.678	1108	13684711
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	8.840	0.091	8.661	9.021	9660	107882208
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Hispanic (All Races)"	9.356	0.067	9.224	9.489	21019	310708397
"Male and female"	"5yrs_2018_2022"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	1012	0
"Male and female"	"5yrs_2018_2022"	"Colon and Rectum"	"AllRaceEth"	36.657	0.044	36.570	36.743	725363	1655614695
"Male and female"	"5yrs_2018_2022"	"Colon and Rectum"	"Non-Hispanic White"	36.845	0.054	36.740	36.950	516604	1004088453
"Male and female"	"5yrs_2018_2022"	"Colon and Rectum"	"Non-Hispanic Black"	40.934	0.143	40.655	41.214	87914	219250926
"Male and female"	"5yrs_2018_2022"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	41.532	0.569	40.424	42.662	5709	13684711
