"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2018"	"Stomach"	"Non-Hispanic Black"	9.483	0.158	9.175	9.798	3823	42652576
"Male and female"	"1yr_2018"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	7.773	0.566	6.703	8.963	203	2708850
"Male and female"	"1yr_2018"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	8.805	0.214	8.391	9.235	1754	20334657
"Male and female"	"1yr_2018"	"Stomach"	"Hispanic (All Races)"	9.228	0.156	8.924	9.539	3779	58587151
"Male and female"	"1yr_2018"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	206	0
"Male and female"	"1yr_2018"	"Colon and Rectum"	"AllRaceEth"	37.118	0.100	36.921	37.315	143462	323807474
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Non-Hispanic White"	37.044	0.120	36.809	37.280	103421	199524240
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Non-Hispanic Black"	42.146	0.329	41.502	42.796	17388	42652576
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	38.787	1.261	36.355	41.337	1019	2708850
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	28.513	0.380	27.773	29.268	5806	20334657
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Hispanic (All Races)"	33.550	0.294	32.977	34.130	14163	58587151
"Male and female"	"1yr_2018"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	1665	0
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.599	0.046	8.508	8.690	35803	323807474
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	7.329	0.050	7.231	7.429	22426	199524240
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	10.277	0.155	9.976	10.585	4701	42652576
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	14.426	0.742	13.009	15.957	410	2708850
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	11.409	0.240	10.943	11.890	2336	20334657
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	13.906	0.191	13.534	14.284	5741	58587151
"Male and female"	"1yr_2018"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	189	0
"Male and female"	"1yr_2018"	"Pancreas"	"AllRaceEth"	13.357	0.059	13.242	13.473	53636	323807474
"Male and female"	"1yr_2018"	"Pancreas"	"Non-Hispanic White"	13.249	0.068	13.116	13.384	39670	199524240
"Male and female"	"1yr_2018"	"Pancreas"	"Non-Hispanic Black"	16.728	0.209	16.320	17.144	6816	42652576
"Male and female"	"1yr_2018"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	11.557	0.690	10.245	12.989	304	2708850
"Male and female"	"1yr_2018"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.792	0.227	9.352	10.248	1923	20334657
"Male and female"	"1yr_2018"	"Pancreas"	"Hispanic (All Races)"	12.088	0.183	11.732	12.452	4708	58587151
"Male and female"	"1yr_2018"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	215	0
"Male and female"	"1yr_2018"	"Larynx"	"AllRaceEth"	2.969	0.027	2.916	3.023	12240	323807474
"Male and female"	"1yr_2018"	"Larynx"	"Non-Hispanic White"	3.105	0.033	3.040	3.171	9286	199524240
"Male and female"	"1yr_2018"	"Larynx"	"Non-Hispanic Black"	3.882	0.097	3.695	4.077	1710	42652576
"Male and female"	"1yr_2018"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	3.036	0.339	2.407	3.781	86	2708850
"Male and female"	"1yr_2018"	"Larynx"	"Non-Hispanic Asian or Pacific Islander"	1.037	0.072	0.900	1.189	213	20334657
"Male and female"	"1yr_2018"	"Larynx"	"Hispanic (All Races)"	2.094	0.075	1.950	2.245	848	58587151
"Male and female"	"1yr_2018"	"Larynx"	"Non-Hispanic Unknown Race"	 	 	 	 	97	0
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"AllRaceEth"	54.868	0.118	54.638	55.100	223429	323807474
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Non-Hispanic White"	59.168	0.142	58.890	59.447	180359	199524240
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Non-Hispanic Black"	56.796	0.383	56.048	57.552	23555	42652576
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Non-Hispanic American Indian/Alaska Native"	54.128	1.488	51.250	57.124	1433	2708850
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Non-Hispanic Asian or Pacific Islander"	33.430	0.419	32.613	34.261	6600	20334657
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Hispanic (All Races)"	28.680	0.288	28.118	29.250	10611	58587151
"Male and female"	"1yr_2018"	"Lung and Bronchus"	"Non-Hispanic Unknown Race"	 	 	 	 	871	0
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"AllRaceEth"	22.495	0.079	22.340	22.649	85755	323807474
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Non-Hispanic White"	29.368	0.110	29.152	29.585	78766	199524240
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Non-Hispanic Black"	0.881	0.048	0.789	0.980	356	42652576
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Non-Hispanic American Indian/Alaska Native"	8.352	0.579	7.255	9.567	223	2708850
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Non-Hispanic Asian or Pacific Islander"	1.294	0.081	1.141	1.463	266	20334657
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Hispanic (All Races)"	4.497	0.107	4.289	4.711	1923	58587151
"Male and female"	"1yr_2018"	"Melanoma of the Skin"	"Non-Hispanic Unknown Race"	 	 	 	 	4221	0
"Male and female"	"1yr_2018"	"Breast"	"AllRaceEth"	68.435	0.138	68.165	68.706	260428	323807474
"Male and female"	"1yr_2018"	"Breast"	"Non-Hispanic White"	70.738	0.170	70.404	71.072	191642	199524240
"Male and female"	"1yr_2018"	"Breast"	"Non-Hispanic Black"	71.488	0.427	70.654	72.330	29702	42652576
"Male and female"	"1yr_2018"	"Breast"	"Non-Hispanic American Indian/Alaska Native"	53.392	1.468	50.554	56.346	1422	2708850
"Male and female"	"1yr_2018"	"Breast"	"Non-Hispanic Asian or Pacific Islander"	56.990	0.529	55.958	58.036	11891	20334657
"Male and female"	"1yr_2018"	"Breast"	"Hispanic (All Races)"	52.497	0.355	51.804	53.197	23458	58587151
"Male and female"	"1yr_2018"	"Breast"	"Non-Hispanic Unknown Race"	 	 	 	 	2313	0
"Male and female"	"1yr_2018"	"Cervix Uteri"	"AllRaceEth"	3.905	0.035	3.836	3.975	12967	323807474
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Non-Hispanic White"	3.608	0.044	3.523	3.694	7667	199524240
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Non-Hispanic Black"	4.762	0.111	4.546	4.985	1930	42652576
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Non-Hispanic American Indian/Alaska Native"	4.884	0.452	4.038	5.853	122	2708850
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Non-Hispanic Asian or Pacific Islander"	3.142	0.124	2.904	3.395	655	20334657
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Hispanic (All Races)"	4.873	0.101	4.677	5.076	2445	58587151
"Male and female"	"1yr_2018"	"Cervix Uteri"	"Non-Hispanic Unknown Race"	 	 	 	 	148	0
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"AllRaceEth"	14.631	0.062	14.510	14.753	58755	323807474
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Non-Hispanic White"	14.476	0.074	14.332	14.622	41919	199524240
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Non-Hispanic Black"	16.401	0.200	16.012	16.797	7200	42652576
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Non-Hispanic American Indian/Alaska Native"	13.976	0.738	12.566	15.501	383	2708850
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Non-Hispanic Asian or Pacific Islander"	12.114	0.242	11.645	12.597	2579	20334657
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Hispanic (All Races)"	13.517	0.178	13.171	13.870	6186	58587151
"Male and female"	"1yr_2018"	"Corpus and Uterus, NOS"	"Non-Hispanic Unknown Race"	 	 	 	 	488	0
"Male and female"	"1yr_2018"	"Ovary"	"AllRaceEth"	5.287	0.038	5.212	5.363	20047	323807474
"Male and female"	"1yr_2018"	"Ovary"	"Non-Hispanic White"	5.363	0.047	5.272	5.456	14516	199524240
"Male and female"	"1yr_2018"	"Ovary"	"Non-Hispanic Black"	4.614	0.109	4.403	4.832	1910	42652576
"Male and female"	"1yr_2018"	"Ovary"	"Non-Hispanic American Indian/Alaska Native"	5.730	0.482	4.824	6.755	150	2708850
"Male and female"	"1yr_2018"	"Ovary"	"Non-Hispanic Asian or Pacific Islander"	4.949	0.157	4.647	5.266	1025	20334657
"Male and female"	"1yr_2018"	"Ovary"	"Hispanic (All Races)"	5.060	0.110	4.847	5.281	2291	58587151
"Male and female"	"1yr_2018"	"Ovary"	"Non-Hispanic Unknown Race"	 	 	 	 	155	0
"Male and female"	"1yr_2018"	"Prostate"	"AllRaceEth"	51.643	0.112	51.424	51.863	220233	323807474
"Male and female"	"1yr_2018"	"Prostate"	"Non-Hispanic White"	49.682	0.128	49.432	49.932	157150	199524240
"Male and female"	"1yr_2018"	"Prostate"	"Non-Hispanic Black"	75.815	0.421	74.993	76.644	34492	42652576
"Male and female"	"1yr_2018"	"Prostate"	"Non-Hispanic American Indian/Alaska Native"	31.969	1.100	29.850	34.201	911	2708850
"Male and female"	"1yr_2018"	"Prostate"	"Non-Hispanic Asian or Pacific Islander"	25.597	0.359	24.898	26.310	5283	20334657
"Male and female"	"1yr_2018"	"Prostate"	"Hispanic (All Races)"	39.214	0.321	38.587	39.849	15980	58587151
"Male and female"	"1yr_2018"	"Prostate"	"Non-Hispanic Unknown Race"	 	 	 	 	6417	0
"Male and female"	"1yr_2018"	"Testis"	"AllRaceEth"	2.924	0.031	2.863	2.986	9062	323807474
"Male and female"	"1yr_2018"	"Testis"	"Non-Hispanic White"	3.570	0.045	3.482	3.660	6458	199524240
"Male and female"	"1yr_2018"	"Testis"	"Non-Hispanic Black"	0.764	0.044	0.680	0.855	314	42652576
"Male and female"	"1yr_2018"	"Testis"	"Non-Hispanic American Indian/Alaska Native"	2.833	0.333	2.219	3.566	76	2708850
"Male and female"	"1yr_2018"	"Testis"	"Non-Hispanic Asian or Pacific Islander"	0.932	0.066	0.807	1.072	202	20334657
"Male and female"	"1yr_2018"	"Testis"	"Hispanic (All Races)"	2.879	0.069	2.746	3.018	1810	58587151
"Male and female"	"1yr_2018"	"Testis"	"Non-Hispanic Unknown Race"	 	 	 	 	202	0
"Male and female"	"1yr_2018"	"Urinary Bladder"	"AllRaceEth"	18.826	0.070	18.689	18.963	75302	323807474
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Non-Hispanic White"	21.288	0.086	21.120	21.457	64132	199524240
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Non-Hispanic Black"	11.223	0.174	10.885	11.569	4447	42652576
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Non-Hispanic American Indian/Alaska Native"	11.288	0.698	9.962	12.738	285	2708850
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Non-Hispanic Asian or Pacific Islander"	8.144	0.210	7.738	8.565	1562	20334657
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Hispanic (All Races)"	10.588	0.176	10.246	10.937	3888	58587151
"Male and female"	"1yr_2018"	"Urinary Bladder"	"Non-Hispanic Unknown Race"	 	 	 	 	988	0
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"AllRaceEth"	17.324	0.069	17.190	17.459	67416	323807474
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Non-Hispanic White"	17.576	0.083	17.413	17.741	48979	199524240
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Non-Hispanic Black"	18.611	0.215	18.192	19.038	7966	42652576
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Non-Hispanic American Indian/Alaska Native"	26.037	1.027	24.064	28.129	688	2708850
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Non-Hispanic Asian or Pacific Islander"	7.863	0.198	7.480	8.260	1632	20334657
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Hispanic (All Races)"	17.450	0.207	17.047	17.860	7676	58587151
"Male and female"	"1yr_2018"	"Kidney and Renal Pelvis"	"Non-Hispanic Unknown Race"	 	 	 	 	475	0
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"AllRaceEth"	6.348	0.043	6.264	6.433	23059	323807474
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Non-Hispanic White"	7.219	0.058	7.106	7.332	17757	199524240
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Non-Hispanic Black"	4.043	0.100	3.848	4.244	1699	42652576
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Non-Hispanic American Indian/Alaska Native"	4.573	0.421	3.784	5.479	125	2708850
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Non-Hispanic Asian or Pacific Islander"	3.736	0.138	3.471	4.016	756	20334657
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Hispanic (All Races)"	5.230	0.109	5.018	5.448	2548	58587151
"Male and female"	"1yr_2018"	"Brain and Other Nervous System"	"Non-Hispanic Unknown Race"	 	 	 	 	174	0
"Male and female"	"1yr_2018"	"Thyroid"	"AllRaceEth"	13.435	0.064	13.309	13.562	46043	323807474
"Male and female"	"1yr_2018"	"Thyroid"	"Non-Hispanic White"	14.125	0.084	13.960	14.291	31420	199524240
"Male and female"	"1yr_2018"	"Thyroid"	"Non-Hispanic Black"	7.997	0.142	7.722	8.279	3354	42652576
"Male and female"	"1yr_2018"	"Thyroid"	"Non-Hispanic American Indian/Alaska Native"	13.958	0.751	12.525	15.509	366	2708850
"Male and female"	"1yr_2018"	"Thyroid"	"Non-Hispanic Asian or Pacific Islander"	15.113	0.269	14.590	15.651	3217	20334657
"Male and female"	"1yr_2018"	"Thyroid"	"Hispanic (All Races)"	13.620	0.168	13.293	13.953	6996	58587151
"Male and female"	"1yr_2018"	"Thyroid"	"Non-Hispanic Unknown Race"	 	 	 	 	690	0
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"AllRaceEth"	2.552	0.028	2.497	2.608	8491	323807474
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Non-Hispanic White"	2.780	0.038	2.705	2.856	5737	199524240
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Non-Hispanic Black"	2.595	0.080	2.441	2.757	1100	42652576
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	1.995	0.287	1.473	2.640	51	2708850
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	1.319	0.080	1.166	1.486	277	20334657
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Hispanic (All Races)"	2.296	0.069	2.162	2.436	1216	58587151
"Male and female"	"1yr_2018"	"Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	110	0
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"AllRaceEth"	18.734	0.071	18.595	18.874	72410	323807474
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Non-Hispanic White"	19.532	0.087	19.362	19.702	55277	199524240
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Black"	14.113	0.191	13.742	14.491	5804	42652576
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	14.979	0.792	13.468	16.611	386	2708850
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	12.957	0.258	12.456	13.473	2605	20334657
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Hispanic (All Races)"	17.348	0.212	16.936	17.768	7350	58587151
"Male and female"	"1yr_2018"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	988	0
"Male and female"	"1yr_2018"	"Myeloma"	"AllRaceEth"	6.941	0.043	6.858	7.025	27591	323807474
"Male and female"	"1yr_2018"	"Myeloma"	"Non-Hispanic White"	6.031	0.046	5.940	6.123	17845	199524240
"Male and female"	"1yr_2018"	"Myeloma"	"Non-Hispanic Black"	14.145	0.192	13.771	14.527	5786	42652576
"Male and female"	"1yr_2018"	"Myeloma"	"Non-Hispanic American Indian/Alaska Native"	7.095	0.540	6.077	8.234	186	2708850
"Male and female"	"1yr_2018"	"Myeloma"	"Non-Hispanic Asian or Pacific Islander"	3.647	0.138	3.382	3.926	728	20334657
"Male and female"	"1yr_2018"	"Myeloma"	"Hispanic (All Races)"	6.866	0.136	6.602	7.139	2738	58587151
"Male and female"	"1yr_2018"	"Myeloma"	"Non-Hispanic Unknown Race"	 	 	 	 	308	0
"Male and female"	"1yr_2018"	"Leukemias"	"AllRaceEth"	13.838	0.062	13.717	13.960	52209	323807474
"Male and female"	"1yr_2018"	"Leukemias"	"Non-Hispanic White"	14.528	0.077	14.378	14.679	39644	199524240
"Male and female"	"1yr_2018"	"Leukemias"	"Non-Hispanic Black"	10.536	0.165	10.215	10.864	4322	42652576
"Male and female"	"1yr_2018"	"Leukemias"	"Non-Hispanic American Indian/Alaska Native"	11.519	0.683	10.219	12.938	302	2708850
"Male and female"	"1yr_2018"	"Leukemias"	"Non-Hispanic Asian or Pacific Islander"	8.105	0.205	7.708	8.518	1604	20334657
"Male and female"	"1yr_2018"	"Leukemias"	"Hispanic (All Races)"	11.274	0.165	10.953	11.602	5274	58587151
"Male and female"	"1yr_2018"	"Leukemias"	"Non-Hispanic Unknown Race"	 	 	 	 	1063	0
"Male and female"	"1yr_2018"	"Mesothelioma"	"AllRaceEth"	0.761	0.014	0.733	0.790	2948	323807474
"Male and female"	"1yr_2018"	"Mesothelioma"	"Non-Hispanic White"	0.844	0.017	0.810	0.878	2472	199524240
"Male and female"	"1yr_2018"	"Mesothelioma"	"Non-Hispanic Black"	0.397	0.033	0.335	0.466	156	42652576
"Male and female"	"1yr_2018"	"Mesothelioma"	"Non-Hispanic American Indian/Alaska Native"	 	 	 	 	 	2708850
"Male and female"	"1yr_2018"	"Mesothelioma"	"Non-Hispanic Asian or Pacific Islander"	0.244	0.036	0.179	0.325	48	20334657
"Male and female"	"1yr_2018"	"Mesothelioma"	"Hispanic (All Races)"	0.657	0.043	0.574	0.746	248	58587151
"Male and female"	"1yr_2018"	"Mesothelioma"	"Non-Hispanic Unknown Race"	 	 	 	 	 	0
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"AllRaceEth"	0.329	0.010	0.309	0.349	1105	323807474
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Non-Hispanic White"	0.182	0.009	0.164	0.201	419	199524240
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Non-Hispanic Black"	0.827	0.045	0.741	0.920	350	42652576
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Non-Hispanic American Indian/Alaska Native"	 	 	 	 	 	2708850
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Non-Hispanic Asian or Pacific Islander"	0.130	0.025	0.085	0.191	27	20334657
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Hispanic (All Races)"	0.524	0.035	0.458	0.596	253	58587151
"Male and female"	"1yr_2018"	"Kaposi Sarcoma"	"Non-Hispanic Unknown Race"	 	 	 	 	49	0
"Male and female"	"5yrs_2014_2018"	"All Sites"	"AllRaceEth"	452.424	0.158	452.115	452.733	8589773	1611126680
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Non-Hispanic White"	469.839	0.191	469.465	470.214	6524467	1004091129
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Non-Hispanic Black"	459.000	0.493	458.034	459.967	925170	210442506
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	402.452	1.864	398.806	406.122	50768	13489322
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	296.834	0.570	295.718	297.952	282250	97756556
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Hispanic (All Races)"	354.647	0.444	353.778	355.518	704248	285347167
"Male and female"	"5yrs_2014_2018"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	102870	0
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.989	0.025	11.939	12.038	232486	1611126680
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.303	0.032	13.240	13.365	187669	1004091129
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.909	0.067	8.777	9.041	18673	210442506
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.467	0.291	9.903	11.054	1400	13489322
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.231	0.093	8.050	8.416	8055	97756556
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.218	0.063	7.095	7.342	14448	285347167
"Male and female"	"5yrs_2014_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	2241	0
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"AllRaceEth"	4.559	0.016	4.528	4.589	89538	1611126680
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Non-Hispanic White"	5.036	0.019	4.999	5.073	73746	1004091129
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Non-Hispanic Black"	3.769	0.044	3.682	3.857	7703	210442506
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.541	0.196	4.165	4.941	591	13489322
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.133	0.049	2.038	2.231	1992	97756556
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Hispanic (All Races)"	2.763	0.040	2.684	2.843	5080	285347167
"Male and female"	"5yrs_2014_2018"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	426	0
"Male and female"	"5yrs_2014_2018"	"Stomach"	"AllRaceEth"	6.488	0.019	6.451	6.525	122683	1611126680
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Non-Hispanic White"	5.280	0.020	5.241	5.319	74892	1004091129
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Non-Hispanic Black"	9.894	0.074	9.749	10.041	18916	210442506
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	7.893	0.265	7.381	8.429	969	13489322
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	9.712	0.105	9.507	9.920	8876	97756556
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Hispanic (All Races)"	9.629	0.075	9.483	9.776	18210	285347167
"Male and female"	"5yrs_2014_2018"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	820	0
"Male and female"	"5yrs_2014_2018"	"Colon and Rectum"	"AllRaceEth"	38.246	0.046	38.156	38.337	720015	1611126680
"Male and female"	"5yrs_2014_2018"	"Colon and Rectum"	"Non-Hispanic White"	38.168	0.055	38.061	38.275	526136	1004091129
"Male and female"	"5yrs_2014_2018"	"Colon and Rectum"	"Non-Hispanic Black"	44.086	0.154	43.785	44.390	87183	210442506
"Male and female"	"5yrs_2014_2018"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	42.185	0.608	41.002	43.393	5246	13489322
