"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2015"	"Esophagus"	"Non-Hispanic Black"	3.926	0.103	3.727	4.132	1569	41738552
"Male and female"	"1yr_2015"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.258	0.444	3.432	5.217	102	2685740
"Male and female"	"1yr_2015"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.100	0.111	1.887	2.330	372	19078387
"Male and female"	"1yr_2015"	"Esophagus"	"Hispanic (All Races)"	2.829	0.094	2.648	3.019	989	56111933
"Male and female"	"1yr_2015"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	74	0
"Male and female"	"1yr_2015"	"Stomach"	"AllRaceEth"	6.554	0.043	6.470	6.639	24357	320738994
"Male and female"	"1yr_2015"	"Stomach"	"Non-Hispanic White"	5.365	0.045	5.277	5.454	15048	201124382
"Male and female"	"1yr_2015"	"Stomach"	"Non-Hispanic Black"	10.004	0.170	9.674	10.343	3714	41738552
"Male and female"	"1yr_2015"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	7.642	0.601	6.509	8.908	178	2685740
"Male and female"	"1yr_2015"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	9.975	0.245	9.500	10.467	1735	19078387
"Male and female"	"1yr_2015"	"Stomach"	"Hispanic (All Races)"	9.754	0.172	9.419	10.097	3523	56111933
"Male and female"	"1yr_2015"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	159	0
"Male and female"	"1yr_2015"	"Colon and Rectum"	"AllRaceEth"	38.946	0.105	38.741	39.152	144178	320738994
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Non-Hispanic White"	38.880	0.123	38.638	39.123	106037	201124382
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Non-Hispanic Black"	45.531	0.355	44.838	46.233	17571	41738552
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	43.808	1.417	41.074	46.672	1052	2685740
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	30.093	0.417	29.281	30.922	5444	19078387
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Hispanic (All Races)"	35.011	0.322	34.382	35.648	12969	56111933
"Male and female"	"1yr_2015"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	1105	0
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.735	0.048	8.641	8.829	34521	320738994
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	7.263	0.051	7.164	7.364	21333	201124382
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	11.482	0.168	11.155	11.816	4982	41738552
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	16.063	0.820	14.496	17.752	425	2685740
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	13.350	0.279	12.808	13.908	2403	19078387
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	14.021	0.203	13.626	14.424	5224	56111933
"Male and female"	"1yr_2015"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	154	0
"Male and female"	"1yr_2015"	"Pancreas"	"AllRaceEth"	13.113	0.060	12.996	13.232	49524	320738994
"Male and female"	"1yr_2015"	"Pancreas"	"Non-Hispanic White"	13.083	0.069	12.947	13.219	37469	201124382
"Male and female"	"1yr_2015"	"Pancreas"	"Non-Hispanic Black"	16.261	0.216	15.840	16.690	6095	41738552
"Male and female"	"1yr_2015"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	12.013	0.754	10.581	13.578	280	2685740
"Male and female"	"1yr_2015"	"Pancreas"	"Non-Hispanic Asian or Pacific Islander"	9.587	0.243	9.116	10.075	1629	19078387
"Male and female"	"1yr_2015"	"Pancreas"	"Hispanic (All Races)"	11.588	0.194	11.211	11.973	3896	56111933
"Male and female"	"1yr_2015"	"Pancreas"	"Non-Hispanic Unknown Race"	 	 	 	 	155	0
"Male and female"	"1yr_2015"	"Larynx"	"AllRaceEth"	3.242	0.029	3.184	3.300	12625	320738994
"Male and female"	"1yr_2015"	"Larynx"	"Non-Hispanic White"	3.384	0.035	3.315	3.454	9720	201124382
"Male and female"	"1yr_2015"	"Larynx"	"Non-Hispanic Black"	4.349	0.107	4.142	4.564	1772	41738552
"Male and female"	"1yr_2015"	"Larynx"	"Non-Hispanic American Indian/Alaska Native"	3.573	0.388	2.853	4.419	93	2685740
"Male and female"	"1yr_2015"	"Larynx"	"Non-Hispanic Asian or Pacific Islander"	1.009	0.077	0.863	1.172	179	19078387
"Male and female"	"1yr_2015"	"Larynx"	"Hispanic (All Races)"	2.207	0.082	2.049	2.372	794	56111933
"Male and female"	"1yr_2015"	"Larynx"	"Non-Hispanic Unknown Race"	 	 	 	 	67	0
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"AllRaceEth"	59.216	0.127	58.967	59.465	224815	320738994
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Non-Hispanic White"	63.649	0.151	63.352	63.946	183527	201124382
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Non-Hispanic Black"	61.214	0.416	60.402	62.034	23329	41738552
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Non-Hispanic American Indian/Alaska Native"	57.917	1.652	54.723	61.242	1362	2685740
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Non-Hispanic Asian or Pacific Islander"	35.322	0.463	34.420	36.241	6106	19078387
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Hispanic (All Races)"	30.315	0.317	29.697	30.941	9908	56111933
"Male and female"	"1yr_2015"	"Lung and Bronchus"	"Non-Hispanic Unknown Race"	 	 	 	 	583	0
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"AllRaceEth"	22.897	0.081	22.738	23.056	83198	320738994
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Non-Hispanic White"	29.778	0.112	29.559	29.998	77424	201124382
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Non-Hispanic Black"	1.052	0.055	0.947	1.166	389	41738552
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Non-Hispanic American Indian/Alaska Native"	9.704	0.658	8.458	11.079	239	2685740
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Non-Hispanic Asian or Pacific Islander"	1.431	0.090	1.260	1.619	263	19078387
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Hispanic (All Races)"	4.723	0.116	4.498	4.956	1836	56111933
"Male and female"	"1yr_2015"	"Melanoma of the Skin"	"Non-Hispanic Unknown Race"	 	 	 	 	3047	0
"Male and female"	"1yr_2015"	"Breast"	"AllRaceEth"	68.289	0.140	68.016	68.564	250168	320738994
"Male and female"	"1yr_2015"	"Breast"	"Non-Hispanic White"	70.358	0.170	70.026	70.692	187009	201124382
"Male and female"	"1yr_2015"	"Breast"	"Non-Hispanic Black"	73.428	0.446	72.556	74.307	28769	41738552
"Male and female"	"1yr_2015"	"Breast"	"Non-Hispanic American Indian/Alaska Native"	56.052	1.572	53.014	59.217	1382	2685740
"Male and female"	"1yr_2015"	"Breast"	"Non-Hispanic Asian or Pacific Islander"	54.492	0.542	53.434	55.565	10422	19078387
"Male and female"	"1yr_2015"	"Breast"	"Hispanic (All Races)"	52.239	0.375	51.506	52.980	21078	56111933
"Male and female"	"1yr_2015"	"Breast"	"Non-Hispanic Unknown Race"	 	 	 	 	1508	0
"Male and female"	"1yr_2015"	"Cervix Uteri"	"AllRaceEth"	4.017	0.036	3.947	4.088	13178	320738994
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Non-Hispanic White"	3.760	0.044	3.674	3.848	8024	201124382
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Non-Hispanic Black"	4.950	0.115	4.728	5.181	1953	41738552
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Non-Hispanic American Indian/Alaska Native"	5.406	0.486	4.494	6.445	131	2685740
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Non-Hispanic Asian or Pacific Islander"	3.466	0.137	3.204	3.745	661	19078387
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Hispanic (All Races)"	4.988	0.108	4.778	5.205	2284	56111933
"Male and female"	"1yr_2015"	"Cervix Uteri"	"Non-Hispanic Unknown Race"	 	 	 	 	125	0
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"AllRaceEth"	14.397	0.063	14.274	14.520	55488	320738994
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic White"	14.481	0.074	14.335	14.627	40875	201124382
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Black"	15.657	0.203	15.261	16.060	6358	41738552
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic American Indian/Alaska Native"	12.950	0.730	11.558	14.463	341	2685740
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Asian or Pacific Islander"	10.985	0.241	10.518	11.469	2142	19078387
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Hispanic (All Races)"	12.977	0.184	12.619	13.343	5369	56111933
"Male and female"	"1yr_2015"	"Corpus and Uterus, NOS"	"Non-Hispanic Unknown Race"	 	 	 	 	403	0
"Male and female"	"1yr_2015"	"Ovary"	"AllRaceEth"	6.032	0.041	5.951	6.114	22114	320738994
"Male and female"	"1yr_2015"	"Ovary"	"Non-Hispanic White"	6.218	0.050	6.120	6.317	16578	201124382
"Male and female"	"1yr_2015"	"Ovary"	"Non-Hispanic Black"	5.150	0.119	4.920	5.388	2002	41738552
"Male and female"	"1yr_2015"	"Ovary"	"Non-Hispanic American Indian/Alaska Native"	6.485	0.544	5.463	7.638	156	2685740
"Male and female"	"1yr_2015"	"Ovary"	"Non-Hispanic Asian or Pacific Islander"	5.233	0.168	4.909	5.572	1007	19078387
"Male and female"	"1yr_2015"	"Ovary"	"Hispanic (All Races)"	5.553	0.123	5.313	5.799	2241	56111933
"Male and female"	"1yr_2015"	"Ovary"	"Non-Hispanic Unknown Race"	 	 	 	 	130	0
"Male and female"	"1yr_2015"	"Prostate"	"AllRaceEth"	48.757	0.112	48.538	48.977	195588	320738994
"Male and female"	"1yr_2015"	"Prostate"	"Non-Hispanic White"	46.393	0.126	46.147	46.641	140186	201124382
"Male and female"	"1yr_2015"	"Prostate"	"Non-Hispanic Black"	74.989	0.438	74.134	75.852	31398	41738552
"Male and female"	"1yr_2015"	"Prostate"	"Non-Hispanic American Indian/Alaska Native"	33.039	1.194	30.741	35.462	850	2685740
"Male and female"	"1yr_2015"	"Prostate"	"Non-Hispanic Asian or Pacific Islander"	24.620	0.376	23.888	25.369	4507	19078387
"Male and female"	"1yr_2015"	"Prostate"	"Hispanic (All Races)"	39.234	0.344	38.562	39.913	14062	56111933
"Male and female"	"1yr_2015"	"Prostate"	"Non-Hispanic Unknown Race"	 	 	 	 	4585	0
"Male and female"	"1yr_2015"	"Testis"	"AllRaceEth"	2.852	0.031	2.792	2.913	8805	320738994
"Male and female"	"1yr_2015"	"Testis"	"Non-Hispanic White"	3.515	0.045	3.428	3.603	6477	201124382
"Male and female"	"1yr_2015"	"Testis"	"Non-Hispanic Black"	0.699	0.042	0.618	0.787	283	41738552
"Male and female"	"1yr_2015"	"Testis"	"Non-Hispanic American Indian/Alaska Native"	3.431	0.367	2.749	4.234	91	2685740
"Male and female"	"1yr_2015"	"Testis"	"Non-Hispanic Asian or Pacific Islander"	0.992	0.070	0.859	1.139	205	19078387
"Male and female"	"1yr_2015"	"Testis"	"Hispanic (All Races)"	2.626	0.066	2.497	2.760	1609	56111933
"Male and female"	"1yr_2015"	"Testis"	"Non-Hispanic Unknown Race"	 	 	 	 	140	0
"Male and female"	"1yr_2015"	"Urinary Bladder"	"AllRaceEth"	20.278	0.075	20.132	20.425	75972	320738994
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Non-Hispanic White"	22.868	0.091	22.690	23.048	65570	201124382
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Non-Hispanic Black"	11.889	0.188	11.524	12.262	4289	41738552
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Non-Hispanic American Indian/Alaska Native"	13.537	0.819	11.980	15.232	303	2685740
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Non-Hispanic Asian or Pacific Islander"	8.546	0.232	8.098	9.012	1423	19078387
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Hispanic (All Races)"	11.038	0.193	10.663	11.422	3536	56111933
"Male and female"	"1yr_2015"	"Urinary Bladder"	"Non-Hispanic Unknown Race"	 	 	 	 	851	0
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"AllRaceEth"	17.195	0.070	17.059	17.332	63933	320738994
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic White"	17.338	0.083	17.175	17.502	46949	201124382
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Black"	19.371	0.227	18.928	19.822	7737	41738552
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic American Indian/Alaska Native"	22.995	1.002	21.072	25.043	572	2685740
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Asian or Pacific Islander"	8.597	0.222	8.168	9.043	1568	19078387
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Hispanic (All Races)"	17.240	0.219	16.814	17.674	6792	56111933
"Male and female"	"1yr_2015"	"Kidney and Renal Pelvis"	"Non-Hispanic Unknown Race"	 	 	 	 	315	0
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"AllRaceEth"	6.584	0.044	6.498	6.672	23042	320738994
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Non-Hispanic White"	7.499	0.059	7.384	7.615	18081	201124382
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Non-Hispanic Black"	4.106	0.104	3.905	4.314	1656	41738552
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Non-Hispanic American Indian/Alaska Native"	4.968	0.467	4.095	5.969	123	2685740
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Non-Hispanic Asian or Pacific Islander"	3.671	0.143	3.397	3.962	684	19078387
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Hispanic (All Races)"	5.202	0.115	4.979	5.432	2359	56111933
"Male and female"	"1yr_2015"	"Brain and Other Nervous System"	"Non-Hispanic Unknown Race"	 	 	 	 	139	0
"Male and female"	"1yr_2015"	"Thyroid"	"AllRaceEth"	14.766	0.068	14.633	14.900	49703	320738994
"Male and female"	"1yr_2015"	"Thyroid"	"Non-Hispanic White"	15.830	0.089	15.656	16.005	35134	201124382
"Male and female"	"1yr_2015"	"Thyroid"	"Non-Hispanic Black"	9.638	0.159	9.329	9.954	3861	41738552
"Male and female"	"1yr_2015"	"Thyroid"	"Non-Hispanic American Indian/Alaska Native"	11.592	0.694	10.271	13.034	298	2685740
"Male and female"	"1yr_2015"	"Thyroid"	"Non-Hispanic Asian or Pacific Islander"	16.142	0.289	15.580	16.719	3199	19078387
"Male and female"	"1yr_2015"	"Thyroid"	"Hispanic (All Races)"	14.090	0.179	13.742	14.446	6694	56111933
"Male and female"	"1yr_2015"	"Thyroid"	"Non-Hispanic Unknown Race"	 	 	 	 	517	0
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"AllRaceEth"	2.663	0.029	2.606	2.720	8721	320738994
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Non-Hispanic White"	2.876	0.039	2.801	2.953	5951	201124382
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Black"	2.782	0.084	2.621	2.950	1155	41738552
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	1.887	0.281	1.376	2.524	48	2685740
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	1.453	0.088	1.286	1.637	283	19078387
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Hispanic (All Races)"	2.407	0.074	2.264	2.558	1195	56111933
"Male and female"	"1yr_2015"	"Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	89	0
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"AllRaceEth"	19.621	0.075	19.475	19.768	71980	320738994
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic White"	20.590	0.090	20.414	20.767	56051	201124382
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Black"	14.720	0.201	14.329	15.118	5730	41738552
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic American Indian/Alaska Native"	16.018	0.872	14.354	17.816	371	2685740
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Asian or Pacific Islander"	13.507	0.282	12.960	14.071	2401	19078387
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Hispanic (All Races)"	17.742	0.230	17.295	18.197	6663	56111933
"Male and female"	"1yr_2015"	"Non-Hodgkin Lymphoma"	"Non-Hispanic Unknown Race"	 	 	 	 	764	0
"Male and female"	"1yr_2015"	"Myeloma"	"AllRaceEth"	7.123	0.044	7.037	7.211	26734	320738994
"Male and female"	"1yr_2015"	"Myeloma"	"Non-Hispanic White"	6.255	0.048	6.161	6.350	17782	201124382
"Male and female"	"1yr_2015"	"Myeloma"	"Non-Hispanic Black"	14.455	0.203	14.059	14.858	5433	41738552
"Male and female"	"1yr_2015"	"Myeloma"	"Non-Hispanic American Indian/Alaska Native"	7.231	0.584	6.131	8.465	168	2685740
"Male and female"	"1yr_2015"	"Myeloma"	"Non-Hispanic Asian or Pacific Islander"	3.955	0.153	3.661	4.266	703	19078387
"Male and female"	"1yr_2015"	"Myeloma"	"Hispanic (All Races)"	6.992	0.148	6.705	7.287	2433	56111933
"Male and female"	"1yr_2015"	"Myeloma"	"Non-Hispanic Unknown Race"	 	 	 	 	215	0
"Male and female"	"1yr_2015"	"Leukemias"	"AllRaceEth"	14.812	0.065	14.684	14.940	53319	320738994
"Male and female"	"1yr_2015"	"Leukemias"	"Non-Hispanic White"	15.751	0.080	15.593	15.909	41617	201124382
"Male and female"	"1yr_2015"	"Leukemias"	"Non-Hispanic Black"	11.151	0.177	10.807	11.503	4239	41738552
"Male and female"	"1yr_2015"	"Leukemias"	"Non-Hispanic American Indian/Alaska Native"	12.393	0.748	10.969	13.945	299	2685740
"Male and female"	"1yr_2015"	"Leukemias"	"Non-Hispanic Asian or Pacific Islander"	7.986	0.216	7.568	8.421	1419	19078387
"Male and female"	"1yr_2015"	"Leukemias"	"Hispanic (All Races)"	11.727	0.178	11.380	12.082	5042	56111933
"Male and female"	"1yr_2015"	"Leukemias"	"Non-Hispanic Unknown Race"	 	 	 	 	703	0
"Male and female"	"1yr_2015"	"Mesothelioma"	"AllRaceEth"	0.902	0.016	0.871	0.934	3303	320738994
"Male and female"	"1yr_2015"	"Mesothelioma"	"Non-Hispanic White"	1.016	0.019	0.978	1.055	2854	201124382
"Male and female"	"1yr_2015"	"Mesothelioma"	"Non-Hispanic Black"	0.397	0.035	0.332	0.471	139	41738552
"Male and female"	"1yr_2015"	"Mesothelioma"	"Non-Hispanic American Indian/Alaska Native"	0.824	0.204	0.475	1.318	18	2685740
"Male and female"	"1yr_2015"	"Mesothelioma"	"Non-Hispanic Asian or Pacific Islander"	0.280	0.041	0.205	0.373	48	19078387
"Male and female"	"1yr_2015"	"Mesothelioma"	"Hispanic (All Races)"	0.667	0.046	0.580	0.762	231	56111933
"Male and female"	"1yr_2015"	"Mesothelioma"	"Non-Hispanic Unknown Race"	 	 	 	 	 	0
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"AllRaceEth"	0.365	0.011	0.344	0.387	1201	320738994
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Non-Hispanic White"	0.210	0.010	0.191	0.231	496	201124382
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Non-Hispanic Black"	0.851	0.047	0.762	0.948	348	41738552
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Non-Hispanic American Indian/Alaska Native"	 	 	 	 	 	2685740
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Non-Hispanic Asian or Pacific Islander"	0.188	0.032	0.130	0.263	35	19078387
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Hispanic (All Races)"	0.622	0.040	0.546	0.704	276	56111933
"Male and female"	"1yr_2015"	"Kaposi Sarcoma"	"Non-Hispanic Unknown Race"	 	 	 	 	36	0
"Male and female"	"5yrs_2011_2015"	"All Sites"	"AllRaceEth"	458.990	0.163	458.670	459.309	8209909	1580646413
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Non-Hispanic White"	475.005	0.194	474.624	475.386	6331113	1003847879
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Non-Hispanic Black"	474.040	0.523	473.015	475.066	878196	204301883
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	404.853	1.990	400.963	408.771	46168	13206011
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	302.426	0.620	301.211	303.644	250152	89620887
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Hispanic (All Races)"	359.849	0.482	358.906	360.794	624903	269669753
"Male and female"	"5yrs_2011_2015"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	79377	0
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.783	0.026	11.733	11.834	215868	1580646413
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	12.901	0.032	12.839	12.963	174984	1003847879
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	9.336	0.071	9.196	9.476	18260	204301883
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.382	0.304	9.795	10.995	1288	13206011
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.236	0.100	8.041	8.435	7054	89620887
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.198	0.067	7.066	7.331	12672	269669753
"Male and female"	"5yrs_2011_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	1610	0
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"AllRaceEth"	4.608	0.016	4.576	4.640	84594	1580646413
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Non-Hispanic White"	5.007	0.019	4.969	5.045	69798	1003847879
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Non-Hispanic Black"	4.213	0.049	4.117	4.311	7856	204301883
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.242	0.205	3.849	4.663	478	13206011
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.129	0.053	2.027	2.236	1708	89620887
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Hispanic (All Races)"	2.793	0.044	2.707	2.880	4435	269669753
"Male and female"	"5yrs_2011_2015"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	319	0
"Male and female"	"5yrs_2011_2015"	"Stomach"	"AllRaceEth"	6.671	0.020	6.633	6.710	118779	1580646413
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Non-Hispanic White"	5.468	0.021	5.428	5.509	74452	1003847879
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Non-Hispanic Black"	10.395	0.080	10.239	10.553	18131	204301883
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.265	0.293	7.701	8.859	886	13206011
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	10.722	0.120	10.487	10.960	8380	89620887
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Hispanic (All Races)"	9.956	0.082	9.795	10.118	16300	269669753
"Male and female"	"5yrs_2011_2015"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	630	0
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"AllRaceEth"	39.634	0.048	39.541	39.729	706617	1580646413
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Non-Hispanic White"	39.335	0.056	39.226	39.444	526958	1003847879
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Non-Hispanic Black"	47.215	0.167	46.889	47.544	85610	204301883
"Male and female"	"5yrs_2011_2015"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	42.362	0.652	41.094	43.658	4722	13206011
